iter	MAE
0	13.72022612
1	13.57432437
2	13.43162734
3	13.29260453
4	13.15828825
5	13.02777692
6	12.9007873
7	12.77815428
8	12.65922085
9	12.54392507
10	12.43190469
11	12.32303872
12	12.21746497
13	12.11481797
14	12.02290396
15	11.92522311
16	11.8338119
17	11.7406764
18	11.65713555
19	11.57339618
20	11.49051033
21	11.40952481
22	11.3297818
23	11.24929739
24	11.17372064
25	11.0964262
26	11.02464055
27	10.95076979
28	10.87959165
29	10.81029641
30	10.74447516
31	10.67988348
32	10.61550468
33	10.54887269
34	10.48237375
35	10.418777
36	10.35902575
37	10.29752229
38	10.2434971
39	10.18899543
40	10.13532715
41	10.07955545
42	10.02297394
43	9.967882833
44	9.913806504
45	9.865746617
46	9.813935377
47	9.762948735
48	9.714751871
49	9.669576794
50	9.627337719
51	9.590697282
52	9.549644297
53	9.50855374
54	9.468461107
55	9.42959347
56	9.390143765
57	9.347702987
58	9.310435261
59	9.274519246
60	9.232571163
61	9.192141576
62	9.154972924
63	9.11865175
64	9.089270288
65	9.046740088
66	9.005791106
67	8.96706063
68	8.936355934
69	8.908757055
70	8.874638577
71	8.843222339
72	8.80570423
73	8.777289397
74	8.748611478
75	8.723676923
76	8.697089435
77	8.66389217
78	8.635063035
79	8.609788385
80	8.582172292
81	8.55956847
82	8.533588422
83	8.510297963
84	8.487928894
85	8.467766561
86	8.445006384
87	8.414836479
88	8.393640735
89	8.364782806
90	8.342197798
91	8.31917396
92	8.293189293
93	8.271741513
94	8.248169954
95	8.22978273
96	8.203967618
97	8.185723544
98	8.166445761
99	8.143365841
100	8.121126555
101	8.10035519
102	8.082057957
103	8.063735399
104	8.046224815
105	8.029038787
106	8.014663067
107	7.993591159
108	7.978759194
109	7.964450428
110	7.951743279
111	7.939460719
112	7.924347007
113	7.904824522
114	7.89143954
115	7.876638593
116	7.863306842
117	7.849703661
118	7.831435846
119	7.813991683
120	7.799988823
121	7.788751948
122	7.772252356
123	7.753180685
124	7.740682991
125	7.728454162
126	7.716788773
127	7.701402691
128	7.691381904
129	7.676294649
130	7.661692071
131	7.648572599
132	7.635445425
133	7.622292077
134	7.606193693
135	7.596215813
136	7.584186754
137	7.573894421
138	7.565000655
139	7.556283625
140	7.548191348
141	7.53390659
