iter	Passed	Remaining
0	146	732008
1	232	581548
2	314	523500
3	400	500504
4	485	484922
5	562	467806
6	641	457642
7	719	449001
8	800	444051
9	878	438320
10	946	429396
11	1013	421188
12	1083	415484
13	1153	410636
14	1226	407643
15	1297	404269
16	1370	401755
17	1441	398983
18	1516	397433
19	1585	394701
20	1656	392766
21	1725	390420
22	1797	388884
23	1865	386745
24	1935	385212
25	2006	383923
26	2075	382216
27	2146	381162
28	2221	380817
29	2296	380414
30	2364	379016
31	2432	377687
32	2502	376658
33	2571	375522
34	2644	375178
35	2718	374914
36	2791	374371
37	2862	373746
38	2930	372738
39	3002	372356
40	3075	371998
41	3147	371548
42	3216	370796
43	3286	370163
44	3353	369284
45	3424	368843
46	3492	368099
47	3561	367477
48	3630	366842
49	3702	366540
50	3774	366244
51	3844	365792
52	3916	365564
53	3987	365217
54	4058	364889
55	4131	364722
56	4198	364133
57	4268	363747
58	4337	363231
59	4404	362606
60	4476	362435
61	4547	362160
62	4613	361506
63	4680	360951
64	4749	360559
65	4820	360348
66	4893	360299
67	4966	360235
68	5037	360022
69	5104	359503
70	5172	359064
71	5242	358812
72	5315	358791
73	5386	358541
74	5455	358232
75	5524	357921
76	5595	357762
77	5667	357607
78	5732	357059
79	5798	356593
80	5863	356086
81	5929	355637
82	5995	355199
83	6061	354735
84	6127	354310
85	6192	353863
86	6258	353432
87	6328	353267
88	6394	352841
89	6463	352624
90	6528	352179
91	6591	351641
92	6660	351414
93	6724	350979
94	6791	350644
95	6856	350250
96	6921	349860
97	6987	349514
98	7054	349217
99	7121	348967
100	7187	348636
101	7251	348192
102	7315	347792
103	7378	347333
104	7439	346828
105	7504	346492
106	7578	346547
107	7647	346406
108	7712	346079
109	7775	345664
110	7839	345302
111	7903	344913
112	7969	344654
113	8035	344379
114	8098	344019
115	8162	343662
116	8225	343310
117	8289	342954
118	8356	342744
119	8420	342414
120	8484	342118
121	8549	341829
122	8614	341553
123	8689	341680
124	8756	341489
125	8822	341285
126	8889	341094
127	8957	340934
128	9023	340730
129	9090	340554
130	9156	340313
131	9221	340070
132	9288	339912
133	9356	339758
134	9428	339789
135	9492	339512
136	9559	339317
137	9622	339014
138	9685	338716
139	9748	338405
140	9811	338102
141	9878	337962
142	9944	337766
143	10012	337639
144	10076	337382
145	10138	337085
146	10201	336787
147	10263	336482
148	10327	336219
149	10391	335987
150	10456	335777
151	10522	335601
152	10584	335302
153	10646	335020
154	10710	334792
155	10773	334535
156	10836	334288
157	10900	334046
158	10966	333895
159	11028	333624
160	11091	333361
161	11154	333125
162	11216	332860
163	11279	332621
164	11345	332445
165	11407	332201
166	11471	331990
167	11535	331782
168	11599	331574
169	11661	331331
170	11729	331231
171	11803	331326
172	11874	331312
173	11942	331221
174	12004	330982
175	12066	330738
176	12128	330490
177	12190	330237
178	12253	330032
179	12317	329822
180	12383	329693
181	12444	329443
182	12507	329239
183	12579	329244
184	12644	329089
185	12709	328933
186	12779	328925
187	12842	328715
188	12909	328618
189	12975	328493
190	13038	328284
191	13101	328077
192	13164	327882
193	13226	327668
194	13289	327463
195	13352	327260
196	13421	327229
197	13505	327548
198	13567	327332
199	13630	327127
200	13692	326911
201	13754	326697
202	13816	326495
203	13879	326297
204	13941	326098
205	14006	325960
206	14069	325768
207	14131	325568
208	14194	325393
209	14260	325264
210	14323	325095
211	14385	324899
212	14452	324811
213	14516	324648
214	14578	324447
215	14641	324277
216	14703	324094
217	14766	323909
218	14828	323730
219	14889	323510
220	14948	323258
221	15011	323089
222	15069	322819
223	15131	322624
224	15191	322394
225	15253	322220
226	15320	322127
227	15383	321968
228	15448	321856
229	15512	321706
230	15577	321602
231	15643	321501
232	15706	321338
233	15768	321175
234	15834	321072
235	15901	320988
236	15963	320828
237	16031	320766
238	16094	320617
239	16159	320493
240	16225	320397
241	16289	320278
242	16353	320139
243	16417	320009
244	16480	319847
245	16543	319711
246	16606	319562
247	16669	319407
248	16732	319262
249	16798	319178
250	16862	319041
251	16926	318918
252	16990	318793
253	17057	318712
254	17122	318615
255	17185	318461
256	17247	318308
257	17312	318205
258	17377	318100
259	17441	317974
260	17506	317860
261	17570	317740
262	17638	317702
263	17705	317621
264	17769	317507
265	17831	317353
266	17902	317357
267	17973	317351
268	18037	317225
269	18100	317090
270	18162	316943
271	18227	316830
272	18290	316701
273	18355	316593
274	18417	316452
275	18482	316345
276	18546	316236
277	18611	316121
278	18674	315987
279	18737	315868
280	18801	315742
281	18864	315620
282	18931	315546
283	18994	315413
284	19057	315285
285	19121	315163
286	19184	315042
287	19248	314922
288	19310	314779
289	19375	314690
290	19438	314557
291	19501	314432
292	19564	314303
293	19628	314188
294	19692	314072
295	19756	313962
296	19823	313899
297	19887	313794
298	19951	313687
299	20015	313577
300	20079	313465
301	20144	313376
302	20207	313255
303	20270	313132
304	20333	313008
305	20397	312891
306	20462	312796
307	20526	312701
308	20590	312584
309	20654	312480
310	20717	312354
311	20780	312238
312	20843	312115
313	20905	311986
314	20973	311942
315	21036	311818
316	21099	311697
317	21162	311584
318	21224	311455
319	21287	311324
320	21349	311202
321	21412	311076
322	21475	310958
323	21538	310848
324	21603	310762
325	21669	310689
326	21737	310633
327	21799	310510
328	21862	310391
329	21926	310291
330	21988	310165
331	22051	310050
332	22113	309915
333	22176	309804
334	22238	309680
335	22300	309553
336	22363	309444
337	22426	309328
338	22489	309208
339	22552	309103
340	22615	308991
341	22679	308888
342	22741	308763
343	22804	308655
344	22868	308560
345	22952	308727
346	23014	308605
347	23076	308483
348	23139	308373
349	23201	308252
350	23264	308143
351	23328	308044
352	23394	307966
353	23458	307882
354	23523	307792
355	23590	307735
356	23658	307687
357	23725	307632
358	23790	307551
359	23857	307497
360	23923	307421
361	23990	307369
362	24059	307339
363	24125	307272
364	24188	307155
365	24251	307050
366	24313	306930
367	24375	306817
368	24437	306697
369	24500	306582
370	24565	306500
371	24631	306436
372	24698	306378
373	24761	306273
374	24821	306133
375	24885	306039
376	24948	305938
377	25012	305844
378	25075	305736
379	25138	305632
380	25201	305524
381	25267	305463
382	25333	305396
383	25397	305300
384	25464	305247
385	25529	305166
386	25594	305078
387	25656	304972
388	25721	304886
389	25785	304796
390	25849	304703
391	25912	304604
392	25975	304500
393	26036	304379
394	26098	304259
395	26161	304158
396	26224	304053
397	26286	303948
398	26350	303855
399	26413	303753
400	26475	303645
401	26538	303540
402	26602	303458
403	26666	303362
404	26729	303259
405	26791	303156
406	26853	303042
407	26916	302938
408	26979	302840
409	27041	302730
410	27104	302632
411	27169	302558
412	27237	302511
413	27303	302446
414	27370	302394
415	27437	302343
416	27505	302291
417	27571	302231
418	27636	302153
419	27702	302089
420	27767	302008
421	27831	301921
422	27894	301830
423	27958	301744
424	28020	301636
425	28082	301523
426	28145	301429
427	28208	301329
428	28270	301217
429	28331	301109
430	28394	301007
431	28459	300928
432	28524	300858
433	28591	300799
434	28656	300725
435	28723	300670
436	28789	300608
437	28853	300528
438	28919	300462
439	28982	300368
440	29046	300276
441	29109	300183
442	29172	300085
443	29234	299986
444	29296	299874
445	29358	299768
446	29420	299672
447	29483	299572
448	29545	299472
449	29608	299378
450	29671	299280
451	29733	299181
452	29798	299102
453	29860	299004
454	29923	298907
455	29987	298823
456	30050	298730
457	30113	298636
458	30175	298533
459	30236	298421
460	30299	298327
461	30362	298234
462	30425	298141
463	30487	298042
464	30550	297946
465	30613	297858
466	30675	297754
467	30738	297667
468	30800	297567
469	30863	297469
470	30925	297371
471	30987	297269
472	31049	297166
473	31110	297059
474	31172	296960
475	31233	296854
476	31297	296765
477	31359	296673
478	31423	296586
479	31486	296494
480	31548	296400
481	31610	296295
482	31672	296197
483	31734	296099
484	31797	296008
485	31860	295927
486	31924	295841
487	31986	295746
488	32048	295645
489	32110	295547
490	32172	295452
491	32234	295348
492	32295	295241
493	32357	295146
494	32420	295062
495	32483	294966
496	32546	294885
497	32614	294843
498	32682	294794
499	32746	294714
500	32808	294622
501	32870	294527
502	32933	294440
503	32995	294339
504	33057	294241
505	33119	294151
506	33182	294058
507	33245	293970
508	33308	293885
509	33370	293792
510	33434	293715
511	33495	293611
512	33558	293519
513	33623	293456
514	33687	293371
515	33749	293282
516	33811	293189
517	33873	293095
518	33936	293003
519	33997	292905
520	34066	292869
521	34129	292785
522	34192	292696
523	34255	292606
524	34317	292514
525	34379	292418
526	34443	292348
527	34534	292495
528	34618	292591
529	34682	292508
530	34743	292410
531	34806	292320
532	34868	292229
533	34933	292156
534	34995	292061
535	35057	291968
536	35104	291751
537	35166	291662
538	35230	291582
539	35294	291504
540	35359	291436
541	35421	291349
542	35488	291292
543	35556	291251
544	35619	291166
545	35685	291102
546	35747	291011
547	35811	290939
548	35874	290850
549	35938	290777
550	36002	290696
551	36067	290627
552	36128	290534
553	36191	290444
554	36256	290375
555	36310	290220
556	36374	290145
557	36437	290063
558	36501	289986
559	36564	289903
560	36627	289822
561	36690	289741
562	36761	289717
563	36825	289644
564	36888	289554
565	36952	289481
566	37014	289393
567	37078	289320
568	37141	289233
569	37203	289142
570	37265	289052
571	37328	288968
572	37390	288880
573	37453	288798
574	37518	288731
575	37581	288647
576	37644	288561
577	37709	288497
578	37773	288422
579	37838	288356
580	37903	288290
581	37966	288205
582	38028	288118
583	38092	288043
584	38140	287847
585	38204	287771
586	38266	287686
587	38329	287600
588	38392	287518
589	38458	287463
590	38521	287376
591	38584	287297
592	38650	287239
593	38717	287185
594	38781	287115
595	38832	286942
596	38899	286891
597	38968	286853
598	39034	286797
599	39097	286714
600	39161	286638
601	39231	286610
602	39294	286532
603	39357	286449
604	39421	286373
605	39485	286304
606	39551	286245
607	39614	286159
608	39679	286093
609	39742	286013
610	39807	285948
611	39876	285913
612	39944	285868
613	39989	285660
614	40052	285575
615	40114	285491
616	40177	285410
617	40240	285329
618	40304	285256
619	40413	285502
620	40477	285427
621	40540	285345
622	40604	285277
623	40670	285218
624	40739	285178
625	40812	285163
626	40887	285166
627	40950	285091
628	41016	285030
629	41082	284966
630	41146	284893
631	41213	284839
632	41278	284779
633	41343	284710
634	41407	284638
635	41455	284454
636	41519	284380
637	41583	284307
638	41658	284310
639	41738	284345
640	41807	284302
